primary_topic,secondary_topic,is_dual,text_input
quantum computing,,0,I want to invest in quantum computing.
personal finance,,0,Looking for exposure to personal finance.
mental health,broadcasting,1,I'm interested in both mental health and broadcasting.
datacenters,,0,I'm interested in companies focused on datacenters.
self-driving cars,,0,I'm interested in companies focused on self-driving cars.
hardware,,0,I'm passionate about hardware and want investment opportunities.
blockchain,,0,I want to invest in blockchain.
pharmaceuticals,,0,Looking for exposure to pharmaceuticals.
energy storage,,0,I'm interested in companies focused on energy storage.
wellness,solar power,1,I want exposure to companies in wellness and solar power.
banking,pharmaceuticals,1,Looking to invest in banking as well as pharmaceuticals.
personal finance,travel,1,I'm interested in both personal finance and travel.
e-commerce,,0,I'm passionate about e-commerce and want investment opportunities.
fitness,,0,I want to invest in fitness.
sports,,0,I'm interested in companies focused on sports.
wealth management,leisure,1,I want exposure to companies in wealth management and leisure.
medical devices,solar power,1,I believe medical devices and solar power will grow over the next decade.
personal finance,oil and gas,1,I want exposure to companies in personal finance and oil and gas.
banking,,0,I'm interested in companies focused on banking.
semiconductors,,0,I'm passionate about semiconductors and want investment opportunities.
medical devices,,0,I believe medical devices will grow significantly.
wealth management,genomics,1,I want exposure to companies in wealth management and genomics.
video streaming,,0,I'm interested in companies focused on video streaming.
music streaming,,0,I want to invest in music streaming.
leisure,fintech,1,Looking to invest in leisure as well as fintech.
energy storage,telecommunications,1,Looking to invest in energy storage as well as telecommunications.
hardware,,0,Looking for exposure to hardware.
lending,software,1,I believe lending and software will grow over the next decade.
entertainment,,0,I believe entertainment will grow significantly.
self-driving cars,digital advertising,1,I'm interested in both self-driving cars and digital advertising.
nuclear power,,0,I want to invest in nuclear power.
wellness,,0,I believe wellness will grow significantly.
datacenters,,0,I want to invest in datacenters.
social media,wind energy,1,I want exposure to companies in social media and wind energy.
insurance,,0,I want to invest in insurance.
automation,home goods,1,Looking to invest in automation as well as home goods.
telemedicine,leisure,1,I'm interested in both telemedicine and leisure.
leisure,,0,Looking for exposure to leisure.
home goods,investment platforms,1,I believe home goods and investment platforms will grow over the next decade.
automation,,0,Looking for exposure to automation.
video streaming,nuclear power,1,I want exposure to companies in video streaming and nuclear power.
fitness,AI,1,I want exposure to companies in fitness and AI.
medical devices,nuclear power,1,I want exposure to companies in medical devices and nuclear power.
nuclear power,,0,I'm passionate about nuclear power and want investment opportunities.
energy storage,entertainment,1,I believe energy storage and entertainment will grow over the next decade.
solar power,,0,I believe solar power will grow significantly.
oil and gas,,0,I believe oil and gas will grow significantly.
home goods,,0,I'm interested in companies focused on home goods.
video streaming,,0,I'm passionate about video streaming and want investment opportunities.
semiconductors,,0,I'm interested in companies focused on semiconductors.
wellness,video streaming,1,I'm interested in both wellness and video streaming.
health IT,marketing,1,I believe health IT and marketing will grow over the next decade.
sports,,0,I want to invest in sports.
hardware,personal finance,1,I want exposure to companies in hardware and personal finance.
genomics,self-driving cars,1,I want exposure to companies in genomics and self-driving cars.
publishing,biotech,1,I'm interested in both publishing and biotech.
entertainment,personal finance,1,I'm interested in both entertainment and personal finance.
home goods,mental health,1,I'm interested in both home goods and mental health.
wind energy,fintech,1,I want exposure to companies in wind energy and fintech.
gaming,,0,I want to invest in gaming.
leisure,,0,I'm interested in companies focused on leisure.
insurance,,0,I'm passionate about insurance and want investment opportunities.
cloud computing,,0,I want to invest in cloud computing.
consumer electronics,,0,I'm interested in companies focused on consumer electronics.
home goods,lending,1,Looking to invest in home goods as well as lending.
genomics,,0,I believe genomics will grow significantly.
self-driving cars,gaming media,1,I want exposure to companies in self-driving cars and gaming media.
digital advertising,,0,Looking for exposure to digital advertising.
wealth management,,0,Looking for exposure to wealth management.
medical devices,automotive,1,I believe medical devices and automotive will grow over the next decade.
cybersecurity,,0,I want to invest in cybersecurity.
automotive,,0,I'm interested in companies focused on automotive.
wealth management,,0,I'm interested in companies focused on wealth management.
video streaming,,0,I'm passionate about video streaming and want investment opportunities.
energy storage,,0,I want to invest in energy storage.
fashion,wealth management,1,Looking to invest in fashion as well as wealth management.
travel,,0,I'm interested in companies focused on travel.
blockchain,gaming media,1,I'm interested in both blockchain and gaming media.
cryptocurrency,cybersecurity,1,I believe cryptocurrency and cybersecurity will grow over the next decade.
nuclear power,pharmaceuticals,1,Looking to invest in nuclear power as well as pharmaceuticals.
home goods,,0,Looking for exposure to home goods.
podcasting,,0,Looking for exposure to podcasting.
wealth management,automation,1,I believe wealth management and automation will grow over the next decade.
publishing,,0,I'm interested in companies focused on publishing.
cryptocurrency,pharmaceuticals,1,I believe cryptocurrency and pharmaceuticals will grow over the next decade.
mental health,broadcasting,1,Looking to invest in mental health as well as broadcasting.
cryptocurrency,digital advertising,1,I want exposure to companies in cryptocurrency and digital advertising.
entertainment,,0,I'm interested in companies focused on entertainment.
fintech,beauty,1,I believe fintech and beauty will grow over the next decade.
self-driving cars,cryptocurrency,1,I believe self-driving cars and cryptocurrency will grow over the next decade.
wellness,,0,Looking for exposure to wellness.
travel,self-driving cars,1,I want exposure to companies in travel and self-driving cars.
self-driving cars,,0,I'm passionate about self-driving cars and want investment opportunities.
semiconductors,,0,I'm passionate about semiconductors and want investment opportunities.
gaming media,,0,I believe gaming media will grow significantly.
renewable energy,,0,I believe renewable energy will grow significantly.
publishing,EV infrastructure,1,I'm interested in both publishing and EV infrastructure.
digital advertising,,0,I'm passionate about digital advertising and want investment opportunities.
entertainment,,0,I'm passionate about entertainment and want investment opportunities.
fitness,wealth management,1,I believe fitness and wealth management will grow over the next decade.
cloud computing,EV infrastructure,1,Looking to invest in cloud computing as well as EV infrastructure.
food,renewable energy,1,Looking to invest in food as well as renewable energy.
software,,0,Looking for exposure to software.
broadcasting,banking,1,Looking to invest in broadcasting as well as banking.
insurance,,0,I'm passionate about insurance and want investment opportunities.
genomics,,0,I want to invest in genomics.
personal finance,gaming media,1,I'm interested in both personal finance and gaming media.
gaming media,,0,Looking for exposure to gaming media.
social media,,0,I'm passionate about social media and want investment opportunities.
AI,,0,Looking for exposure to AI.
solar power,fitness,1,I believe solar power and fitness will grow over the next decade.
wellness,entertainment,1,Looking to invest in wellness as well as entertainment.
pharmaceuticals,,0,Looking for exposure to pharmaceuticals.
fitness,,0,I'm interested in companies focused on fitness.
cloud computing,pharmaceuticals,1,I'm interested in both cloud computing and pharmaceuticals.
biotech,,0,I'm passionate about biotech and want investment opportunities.
insurance,fashion,1,Looking to invest in insurance as well as fashion.
medical devices,entertainment,1,I want exposure to companies in medical devices and entertainment.
marketing,,0,I'm passionate about marketing and want investment opportunities.
travel,,0,I'm passionate about travel and want investment opportunities.
nuclear power,travel,1,Looking to invest in nuclear power as well as travel.
music streaming,lending,1,I want exposure to companies in music streaming and lending.
social media,lending,1,I want exposure to companies in social media and lending.
health IT,,0,I'm passionate about health IT and want investment opportunities.
cybersecurity,,0,I'm interested in companies focused on cybersecurity.
video streaming,,0,I'm passionate about video streaming and want investment opportunities.
datacenters,oil and gas,1,I'm interested in both datacenters and oil and gas.
AI,,0,I'm passionate about AI and want investment opportunities.
gaming media,energy storage,1,Looking to invest in gaming media as well as energy storage.
beauty,,0,I want to invest in beauty.
lending,telemedicine,1,I believe lending and telemedicine will grow over the next decade.
home goods,,0,Looking for exposure to home goods.
insurance,,0,Looking for exposure to insurance.
cryptocurrency,oil and gas,1,I want exposure to companies in cryptocurrency and oil and gas.
e-commerce,,0,I'm interested in companies focused on e-commerce.
pharmaceuticals,,0,I'm passionate about pharmaceuticals and want investment opportunities.
genomics,renewable energy,1,Looking to invest in genomics as well as renewable energy.
pharmaceuticals,,0,I'm passionate about pharmaceuticals and want investment opportunities.
investment platforms,energy storage,1,I'm interested in both investment platforms and energy storage.
genomics,,0,I believe genomics will grow significantly.
telemedicine,music streaming,1,I want exposure to companies in telemedicine and music streaming.
medical devices,broadcasting,1,I believe medical devices and broadcasting will grow over the next decade.
medical devices,,0,I believe medical devices will grow significantly.
solar power,beverage,1,I'm interested in both solar power and beverage.
genomics,software,1,I believe genomics and software will grow over the next decade.
healthcare services,,0,I want to invest in healthcare services.
EV infrastructure,,0,I want to invest in EV infrastructure.
music streaming,,0,I believe music streaming will grow significantly.
entertainment,leisure,1,I want exposure to companies in entertainment and leisure.
EV infrastructure,,0,Looking for exposure to EV infrastructure.
food,EV infrastructure,1,I want exposure to companies in food and EV infrastructure.
personal finance,AI,1,Looking to invest in personal finance as well as AI.
biotech,,0,Looking for exposure to biotech.
automotive,wellness,1,I'm interested in both automotive and wellness.
banking,leisure,1,I want exposure to companies in banking and leisure.
investment platforms,,0,I'm passionate about investment platforms and want investment opportunities.
video streaming,,0,I want to invest in video streaming.
home goods,,0,I'm passionate about home goods and want investment opportunities.
medical devices,oil and gas,1,I want exposure to companies in medical devices and oil and gas.
energy storage,,0,I want to invest in energy storage.
home goods,,0,I'm passionate about home goods and want investment opportunities.
solar power,gaming,1,I believe solar power and gaming will grow over the next decade.
consumer electronics,,0,I believe consumer electronics will grow significantly.
cryptocurrency,cybersecurity,1,I'm interested in both cryptocurrency and cybersecurity.
semiconductors,,0,I'm passionate about semiconductors and want investment opportunities.
clean energy,,0,I'm passionate about clean energy and want investment opportunities.
energy storage,e-commerce,1,I'm interested in both energy storage and e-commerce.
investment platforms,wellness,1,I'm interested in both investment platforms and wellness.
digital advertising,,0,I'm interested in companies focused on digital advertising.
nuclear power,,0,I want to invest in nuclear power.
renewable energy,healthcare services,1,Looking to invest in renewable energy as well as healthcare services.
music streaming,fitness,1,I'm interested in both music streaming and fitness.
wealth management,beauty,1,I'm interested in both wealth management and beauty.
cloud computing,,0,I want to invest in cloud computing.
genomics,,0,I believe genomics will grow significantly.
consumer electronics,,0,I'm passionate about consumer electronics and want investment opportunities.
consumer electronics,,0,I want to invest in consumer electronics.
fitness,,0,I'm interested in companies focused on fitness.
cryptocurrency,beauty,1,Looking to invest in cryptocurrency as well as beauty.
personal finance,automation,1,I believe personal finance and automation will grow over the next decade.
leisure,,0,I believe leisure will grow significantly.
wind energy,,0,I'm interested in companies focused on wind energy.
wellness,,0,I believe wellness will grow significantly.
home goods,,0,Looking for exposure to home goods.
utilities,fintech,1,I believe utilities and fintech will grow over the next decade.
healthcare services,,0,Looking for exposure to healthcare services.
home goods,,0,I'm interested in companies focused on home goods.
cryptocurrency,,0,Looking for exposure to cryptocurrency.
wellness,,0,I'm passionate about wellness and want investment opportunities.
nuclear power,fintech,1,I believe nuclear power and fintech will grow over the next decade.
oil and gas,self-driving cars,1,I believe oil and gas and self-driving cars will grow over the next decade.
health IT,energy storage,1,I'm interested in both health IT and energy storage.
medical devices,wealth management,1,I believe medical devices and wealth management will grow over the next decade.
personal finance,,0,I'm passionate about personal finance and want investment opportunities.
cryptocurrency,,0,I'm interested in companies focused on cryptocurrency.
marketing,,0,I'm passionate about marketing and want investment opportunities.
nuclear power,,0,I'm interested in companies focused on nuclear power.
wind energy,,0,I believe wind energy will grow significantly.
cryptocurrency,wind energy,1,I want exposure to companies in cryptocurrency and wind energy.
self-driving cars,personal finance,1,I want exposure to companies in self-driving cars and personal finance.
blockchain,,0,I believe blockchain will grow significantly.
genomics,fashion,1,I'm interested in both genomics and fashion.
semiconductors,health IT,1,I want exposure to companies in semiconductors and health IT.
marketing,,0,I want to invest in marketing.
entertainment,,0,I'm passionate about entertainment and want investment opportunities.
podcasting,blockchain,1,I want exposure to companies in podcasting and blockchain.
clean energy,,0,I believe clean energy will grow significantly.
renewable energy,fintech,1,Looking to invest in renewable energy as well as fintech.
gaming media,,0,I believe gaming media will grow significantly.
telecommunications,,0,Looking for exposure to telecommunications.
banking,,0,I believe banking will grow significantly.
investment platforms,,0,I'm interested in companies focused on investment platforms.
utilities,,0,I'm interested in companies focused on utilities.
marketing,,0,I'm interested in companies focused on marketing.
home goods,cryptocurrency,1,Looking to invest in home goods as well as cryptocurrency.
music streaming,e-commerce,1,I want exposure to companies in music streaming and e-commerce.
banking,oil and gas,1,I want exposure to companies in banking and oil and gas.
fitness,cryptocurrency,1,I want exposure to companies in fitness and cryptocurrency.
publishing,sports,1,I want exposure to companies in publishing and sports.
retail,health IT,1,Looking to invest in retail as well as health IT.
home goods,energy storage,1,I'm interested in both home goods and energy storage.
social media,,0,I believe social media will grow significantly.
AI,telemedicine,1,I want exposure to companies in AI and telemedicine.
fitness,broadcasting,1,I believe fitness and broadcasting will grow over the next decade.
telecommunications,genomics,1,Looking to invest in telecommunications as well as genomics.
banking,hardware,1,I want exposure to companies in banking and hardware.
wellness,broadcasting,1,Looking to invest in wellness as well as broadcasting.
wind energy,wealth management,1,Looking to invest in wind energy as well as wealth management.
beauty,,0,I'm passionate about beauty and want investment opportunities.
food,,0,I believe food will grow significantly.
healthcare services,entertainment,1,I believe healthcare services and entertainment will grow over the next decade.
gaming,,0,I want to invest in gaming.
genomics,,0,I'm interested in companies focused on genomics.
broadcasting,,0,I'm interested in companies focused on broadcasting.
blockchain,,0,I'm interested in companies focused on blockchain.
investment platforms,,0,Looking for exposure to investment platforms.
gaming,,0,I want to invest in gaming.
pharmaceuticals,renewable energy,1,I believe pharmaceuticals and renewable energy will grow over the next decade.
investment platforms,,0,I'm passionate about investment platforms and want investment opportunities.
personal finance,,0,Looking for exposure to personal finance.
energy storage,,0,I'm interested in companies focused on energy storage.
telemedicine,,0,I want to invest in telemedicine.
telemedicine,broadcasting,1,I'm interested in both telemedicine and broadcasting.
AI,oil and gas,1,I believe AI and oil and gas will grow over the next decade.
telemedicine,,0,I'm passionate about telemedicine and want investment opportunities.
renewable energy,,0,I believe renewable energy will grow significantly.
oil and gas,mental health,1,I want exposure to companies in oil and gas and mental health.
food,,0,I'm passionate about food and want investment opportunities.
sports,mental health,1,Looking to invest in sports as well as mental health.
renewable energy,,0,Looking for exposure to renewable energy.
wind energy,marketing,1,Looking to invest in wind energy as well as marketing.
cybersecurity,,0,I'm interested in companies focused on cybersecurity.
wealth management,,0,I believe wealth management will grow significantly.
automotive,,0,Looking for exposure to automotive.
nuclear power,sports,1,I want exposure to companies in nuclear power and sports.
wealth management,retail,1,I'm interested in both wealth management and retail.
gaming media,,0,Looking for exposure to gaming media.
semiconductors,,0,I believe semiconductors will grow significantly.
entertainment,,0,Looking for exposure to entertainment.
telemedicine,automotive,1,I want exposure to companies in telemedicine and automotive.
broadcasting,telemedicine,1,I'm interested in both broadcasting and telemedicine.
insurance,healthcare services,1,I'm interested in both insurance and healthcare services.
video streaming,,0,I believe video streaming will grow significantly.
automotive,,0,I'm interested in companies focused on automotive.
telemedicine,,0,Looking for exposure to telemedicine.
investment platforms,,0,Looking for exposure to investment platforms.
semiconductors,,0,I'm interested in companies focused on semiconductors.
oil and gas,digital advertising,1,I believe oil and gas and digital advertising will grow over the next decade.
health IT,datacenters,1,I want exposure to companies in health IT and datacenters.
clean energy,,0,I believe clean energy will grow significantly.
sports,,0,Looking for exposure to sports.
automation,,0,I'm interested in companies focused on automation.
gaming media,,0,Looking for exposure to gaming media.
beverage,,0,I want to invest in beverage.
cloud computing,,0,I want to invest in cloud computing.
fashion,gaming media,1,I want exposure to companies in fashion and gaming media.
leisure,banking,1,I'm interested in both leisure and banking.
AI,,0,I'm interested in companies focused on AI.
automotive,,0,I'm passionate about automotive and want investment opportunities.
marketing,,0,I'm passionate about marketing and want investment opportunities.
biotech,,0,Looking for exposure to biotech.
beauty,,0,I'm passionate about beauty and want investment opportunities.
publishing,,0,I believe publishing will grow significantly.
telemedicine,,0,Looking for exposure to telemedicine.
semiconductors,medical devices,1,I believe semiconductors and medical devices will grow over the next decade.
genomics,,0,I'm passionate about genomics and want investment opportunities.
cryptocurrency,,0,I want to invest in cryptocurrency.
semiconductors,,0,I believe semiconductors will grow significantly.
home goods,personal finance,1,I want exposure to companies in home goods and personal finance.
digital advertising,,0,Looking for exposure to digital advertising.
medical devices,telecommunications,1,Looking to invest in medical devices as well as telecommunications.
datacenters,energy storage,1,I'm interested in both datacenters and energy storage.
telemedicine,cloud computing,1,I believe telemedicine and cloud computing will grow over the next decade.
broadcasting,,0,I'm passionate about broadcasting and want investment opportunities.
health IT,,0,I believe health IT will grow significantly.
wellness,,0,I'm passionate about wellness and want investment opportunities.
genomics,,0,I want to invest in genomics.
beverage,,0,I believe beverage will grow significantly.
telecommunications,fashion,1,I believe telecommunications and fashion will grow over the next decade.
telemedicine,,0,I believe telemedicine will grow significantly.
telemedicine,,0,I believe telemedicine will grow significantly.
video streaming,,0,I'm interested in companies focused on video streaming.
telemedicine,,0,I'm passionate about telemedicine and want investment opportunities.
wellness,entertainment,1,I want exposure to companies in wellness and entertainment.
automation,food,1,I want exposure to companies in automation and food.
health IT,,0,I'm passionate about health IT and want investment opportunities.
fitness,,0,Looking for exposure to fitness.
publishing,,0,Looking for exposure to publishing.
fashion,,0,I want to invest in fashion.
digital advertising,medical devices,1,Looking to invest in digital advertising as well as medical devices.
nuclear power,blockchain,1,I want exposure to companies in nuclear power and blockchain.
pharmaceuticals,marketing,1,I believe pharmaceuticals and marketing will grow over the next decade.
wealth management,,0,I'm passionate about wealth management and want investment opportunities.
personal finance,,0,I'm passionate about personal finance and want investment opportunities.
cybersecurity,insurance,1,Looking to invest in cybersecurity as well as insurance.
pharmaceuticals,,0,I'm passionate about pharmaceuticals and want investment opportunities.
personal finance,,0,I'm passionate about personal finance and want investment opportunities.
lending,gaming,1,I want exposure to companies in lending and gaming.
wind energy,digital advertising,1,I'm interested in both wind energy and digital advertising.
datacenters,,0,I believe datacenters will grow significantly.
cryptocurrency,marketing,1,I'm interested in both cryptocurrency and marketing.
e-commerce,,0,I'm interested in companies focused on e-commerce.
healthcare services,beverage,1,I believe healthcare services and beverage will grow over the next decade.
video streaming,,0,I believe video streaming will grow significantly.
lending,,0,I'm interested in companies focused on lending.
video streaming,,0,I'm passionate about video streaming and want investment opportunities.
lending,fashion,1,I'm interested in both lending and fashion.
sports,clean energy,1,I believe sports and clean energy will grow over the next decade.
oil and gas,gaming,1,I believe oil and gas and gaming will grow over the next decade.
telemedicine,,0,I want to invest in telemedicine.
telemedicine,energy storage,1,I want exposure to companies in telemedicine and energy storage.
fitness,,0,I want to invest in fitness.
insurance,,0,I'm interested in companies focused on insurance.
beverage,,0,Looking for exposure to beverage.
datacenters,,0,Looking for exposure to datacenters.
travel,,0,I believe travel will grow significantly.
telecommunications,EV infrastructure,1,I'm interested in both telecommunications and EV infrastructure.
wealth management,automotive,1,I'm interested in both wealth management and automotive.
health IT,,0,I'm interested in companies focused on health IT.
EV infrastructure,,0,Looking for exposure to EV infrastructure.
EV infrastructure,,0,I'm interested in companies focused on EV infrastructure.
e-commerce,,0,I'm interested in companies focused on e-commerce.
telecommunications,,0,Looking for exposure to telecommunications.
quantum computing,renewable energy,1,I want exposure to companies in quantum computing and renewable energy.
datacenters,,0,I believe datacenters will grow significantly.
marketing,automation,1,Looking to invest in marketing as well as automation.
fitness,,0,I believe fitness will grow significantly.
fitness,,0,I want to invest in fitness.
semiconductors,,0,I'm passionate about semiconductors and want investment opportunities.
leisure,,0,I believe leisure will grow significantly.
utilities,,0,I'm passionate about utilities and want investment opportunities.
pharmaceuticals,,0,I want to invest in pharmaceuticals.
banking,oil and gas,1,I believe banking and oil and gas will grow over the next decade.
fashion,,0,I'm interested in companies focused on fashion.
marketing,energy storage,1,I'm interested in both marketing and energy storage.
genomics,retail,1,I believe genomics and retail will grow over the next decade.
pharmaceuticals,,0,I believe pharmaceuticals will grow significantly.
biotech,datacenters,1,I believe biotech and datacenters will grow over the next decade.
fintech,clean energy,1,I believe fintech and clean energy will grow over the next decade.
utilities,banking,1,I believe utilities and banking will grow over the next decade.
personal finance,music streaming,1,I want exposure to companies in personal finance and music streaming.
datacenters,,0,I believe datacenters will grow significantly.
publishing,,0,I'm interested in companies focused on publishing.
oil and gas,,0,I'm interested in companies focused on oil and gas.
e-commerce,,0,I'm passionate about e-commerce and want investment opportunities.
blockchain,,0,I want to invest in blockchain.
music streaming,,0,I'm interested in companies focused on music streaming.
biotech,telecommunications,1,Looking to invest in biotech as well as telecommunications.
investment platforms,,0,I'm passionate about investment platforms and want investment opportunities.
telecommunications,cryptocurrency,1,I believe telecommunications and cryptocurrency will grow over the next decade.
consumer electronics,,0,Looking for exposure to consumer electronics.
health IT,broadcasting,1,I'm interested in both health IT and broadcasting.
wellness,self-driving cars,1,I want exposure to companies in wellness and self-driving cars.
personal finance,mental health,1,I believe personal finance and mental health will grow over the next decade.
fintech,,0,I'm passionate about fintech and want investment opportunities.
gaming,broadcasting,1,I want exposure to companies in gaming and broadcasting.
hardware,,0,I want to invest in hardware.
beauty,cloud computing,1,I'm interested in both beauty and cloud computing.
insurance,digital advertising,1,Looking to invest in insurance as well as digital advertising.
lending,,0,I'm passionate about lending and want investment opportunities.
blockchain,,0,I'm passionate about blockchain and want investment opportunities.
telecommunications,,0,Looking for exposure to telecommunications.
digital advertising,genomics,1,I'm interested in both digital advertising and genomics.
consumer electronics,,0,I'm passionate about consumer electronics and want investment opportunities.
automotive,,0,I'm passionate about automotive and want investment opportunities.
social media,,0,I want to invest in social media.
cryptocurrency,,0,I believe cryptocurrency will grow significantly.
gaming media,,0,I believe gaming media will grow significantly.
mental health,,0,I'm interested in companies focused on mental health.
genomics,,0,I'm passionate about genomics and want investment opportunities.
banking,,0,I believe banking will grow significantly.
marketing,EV infrastructure,1,I'm interested in both marketing and EV infrastructure.
telemedicine,,0,I'm passionate about telemedicine and want investment opportunities.
self-driving cars,,0,Looking for exposure to self-driving cars.
software,video streaming,1,I believe software and video streaming will grow over the next decade.
clean energy,datacenters,1,Looking to invest in clean energy as well as datacenters.
gaming,wind energy,1,I want exposure to companies in gaming and wind energy.
entertainment,,0,I believe entertainment will grow significantly.
marketing,wind energy,1,Looking to invest in marketing as well as wind energy.
gaming,,0,I'm passionate about gaming and want investment opportunities.
healthcare services,,0,I believe healthcare services will grow significantly.
oil and gas,,0,Looking for exposure to oil and gas.
home goods,,0,Looking for exposure to home goods.
oil and gas,,0,I'm passionate about oil and gas and want investment opportunities.
energy storage,,0,Looking for exposure to energy storage.
automation,,0,Looking for exposure to automation.
EV infrastructure,,0,Looking for exposure to EV infrastructure.
fintech,,0,I believe fintech will grow significantly.
beauty,,0,I want to invest in beauty.
blockchain,,0,I'm interested in companies focused on blockchain.
beverage,,0,I'm interested in companies focused on beverage.
wind energy,,0,I believe wind energy will grow significantly.
cybersecurity,,0,I'm interested in companies focused on cybersecurity.
cryptocurrency,,0,I believe cryptocurrency will grow significantly.
consumer electronics,entertainment,1,Looking to invest in consumer electronics as well as entertainment.
renewable energy,,0,I'm passionate about renewable energy and want investment opportunities.
semiconductors,,0,I believe semiconductors will grow significantly.
cryptocurrency,automation,1,I want exposure to companies in cryptocurrency and automation.
sports,,0,I want to invest in sports.
renewable energy,,0,I'm interested in companies focused on renewable energy.
healthcare services,fintech,1,I believe healthcare services and fintech will grow over the next decade.
digital advertising,,0,I'm interested in companies focused on digital advertising.
energy storage,,0,I want to invest in energy storage.
pharmaceuticals,,0,I'm interested in companies focused on pharmaceuticals.
gaming media,wind energy,1,I want exposure to companies in gaming media and wind energy.
fintech,,0,I'm interested in companies focused on fintech.
utilities,,0,I believe utilities will grow significantly.
automotive,,0,I believe automotive will grow significantly.
telemedicine,renewable energy,1,Looking to invest in telemedicine as well as renewable energy.
clean energy,,0,I'm passionate about clean energy and want investment opportunities.
medical devices,banking,1,I believe medical devices and banking will grow over the next decade.
pharmaceuticals,,0,I'm passionate about pharmaceuticals and want investment opportunities.
gaming media,,0,I believe gaming media will grow significantly.
software,marketing,1,Looking to invest in software as well as marketing.
renewable energy,,0,Looking for exposure to renewable energy.
medical devices,music streaming,1,Looking to invest in medical devices as well as music streaming.
blockchain,,0,I believe blockchain will grow significantly.
gaming media,,0,I'm interested in companies focused on gaming media.
insurance,,0,Looking for exposure to insurance.
automotive,software,1,I want exposure to companies in automotive and software.
entertainment,sports,1,I want exposure to companies in entertainment and sports.
AI,publishing,1,I'm interested in both AI and publishing.
health IT,nuclear power,1,Looking to invest in health IT as well as nuclear power.
gaming media,insurance,1,I believe gaming media and insurance will grow over the next decade.
clean energy,,0,I'm passionate about clean energy and want investment opportunities.
blockchain,publishing,1,I'm interested in both blockchain and publishing.
clean energy,,0,Looking for exposure to clean energy.
travel,renewable energy,1,Looking to invest in travel as well as renewable energy.
entertainment,,0,I'm passionate about entertainment and want investment opportunities.
software,,0,I believe software will grow significantly.
utilities,,0,I want to invest in utilities.
travel,,0,Looking for exposure to travel.
solar power,,0,I'm passionate about solar power and want investment opportunities.
genomics,,0,Looking for exposure to genomics.
lending,,0,Looking for exposure to lending.
digital advertising,solar power,1,Looking to invest in digital advertising as well as solar power.
nuclear power,,0,Looking for exposure to nuclear power.
automotive,broadcasting,1,I believe automotive and broadcasting will grow over the next decade.
beverage,banking,1,Looking to invest in beverage as well as banking.
banking,pharmaceuticals,1,I'm interested in both banking and pharmaceuticals.
home goods,,0,I'm passionate about home goods and want investment opportunities.
e-commerce,fitness,1,I'm interested in both e-commerce and fitness.
banking,,0,I believe banking will grow significantly.
fashion,,0,I'm interested in companies focused on fashion.
cloud computing,,0,I'm passionate about cloud computing and want investment opportunities.
leisure,,0,Looking for exposure to leisure.
investment platforms,clean energy,1,I want exposure to companies in investment platforms and clean energy.
digital advertising,,0,Looking for exposure to digital advertising.
wellness,telecommunications,1,I'm interested in both wellness and telecommunications.
fitness,,0,I'm interested in companies focused on fitness.
gaming media,datacenters,1,Looking to invest in gaming media as well as datacenters.
cloud computing,EV infrastructure,1,I believe cloud computing and EV infrastructure will grow over the next decade.
lending,publishing,1,Looking to invest in lending as well as publishing.
social media,,0,I want to invest in social media.
blockchain,,0,Looking for exposure to blockchain.
clean energy,,0,Looking for exposure to clean energy.
digital advertising,gaming,1,I want exposure to companies in digital advertising and gaming.
publishing,,0,I'm interested in companies focused on publishing.
